Player,Position,Team,TOI (min),Total Games played,Total TOI/GP (min),Expected Goals For WOI,Expected Goals Against WOI,Total Shot From Slot Attempts,Possession Driving Plays,Successful Defensive Touches
Kevin Shattenkirk,D,Anaheim Ducks,1178:37:00,75,15:43,1.888430991,2.996667609,1.069050883,43.98380774,19.39563744
Pavol Regenda,F,Anaheim Ducks,136:20:00,14,9:44,2.461306495,3.71182706,7.041450017,37.40770322,19.36398755
Jamie Drysdale,D,Anaheim Ducks,125:53:00,8,15:44,1.67178664,2.756888771,0.476636009,51.95332498,19.06544036
Austin Strand,D,Anaheim Ducks,61:00:00,5,12:12,1.615314601,2.160615024,0.983696147,44.26632662,18.6902268
Nathan Beaulieu,D,Anaheim Ducks,669:50:00,52,12:53,1.959653648,3.234295146,0.268723117,34.48613339,18.63146947
Scott Harrington,D,Anaheim Ducks,701:15:00,45,15:35,2.292011432,2.825684579,0.513373458,36.36395326,18.48144448
Simon Benoit,D,Anaheim Ducks,1233:33:00,78,15:49,2.026945603,3.379532701,0.875518319,37.93912716,18.3858847
Urho Vaakanainen,D,Anaheim Ducks,360:48:00,23,15:41,1.814902254,3.197285231,0.332600893,38.91430446,17.29524642
Isac Lundeström,F,Anaheim Ducks,706:40:00,61,11:35,1.670564361,2.853553326,4.075516554,44.91558869,16.89641238
Glenn Gawdin,F,Anaheim Ducks,21:50,3,7:17,0.564031955,2.049829795,0,21.98193614,16.48645211
Derek Grant,F,Anaheim Ducks,511:50:00,46,11:08,2.207547788,3.286155212,4.571795754,30.83031496,16.05989791
Adam Henrique,F,Anaheim Ducks,774:30:00,62,12:30,2.159019923,3.211213149,5.73278014,30.98800076,15.88135039
Nikita Nesterenko,F,Anaheim Ducks,113:30:00,9,12:37,1.849613308,3.346155465,5.286033126,50.2173147,15.85809938
Jayson Megna,F,Anaheim Ducks,494:57:00,55,9:00,1.898199263,2.966868239,3.879123112,29.09342334,15.75893764
Sam Carrick,F,Anaheim Ducks,496:07:00,52,9:32,1.59976245,3.36523756,3.265328061,36.64423713,15.72194992
Cam Fowler,D,Anaheim Ducks,1510:21:00,82,18:25,2.032784249,3.015981169,1.430135771,53.43146144,15.05615159
Colton White,D,Anaheim Ducks,608:43:00,46,13:14,1.743804654,3.01465465,0.985685654,32.62619514,14.68671624
Mason McTavish,F,Anaheim Ducks,998:55:00,80,12:29,1.99218644,2.929456445,4.86523824,36.51931913,14.65577939
Jakob Silfverberg,F,Anaheim Ducks,856:21:00,81,10:34,1.687846118,2.877064376,2.802596034,41.54848621,14.50343448
Justin Kirkland,F,Anaheim Ducks,50:19:00,7,7:11,2.272480275,1.994910223,5.962502484,36.9675154,14.31000596
Maxime Comtois,F,Anaheim Ducks,796:54:00,64,12:27,1.949102658,3.028403178,4.291618099,35.61290107,14.23010212
Trevor Zegras,F,Anaheim Ducks,1217:23:00,81,15:02,2.374484195,3.573821362,5.027194127,54.51055592,13.75085452
Brock McGinn,F,Anaheim Ducks,791:39:00,75,10:33,1.797804963,2.263696623,3.713749364,31.07422937,13.6423446
Max Jones,F,Anaheim Ducks,837:07:00,69,12:08,1.878679652,3.06549883,6.020650193,36.48227319,13.54646293
Troy Terry,F,Anaheim Ducks,1074:51:00,70,15:21,2.313883081,3.192092816,7.480152167,65.98164075,13.22982137
Frank Vatrano,F,Anaheim Ducks,1086:00:00,81,13:24,1.880090654,3.398316961,6.022130254,42.37590739,13.14923854
Brett Leason,F,Anaheim Ducks,578:52:00,54,10:43,1.587254623,3.271889929,4.353304855,40.11259474,12.12706353
Ryan Strome,F,Anaheim Ducks,1132:11:00,82,13:48,2.18564981,3.625291021,3.550673897,39.37538366,12.02989514
Jackson Lacombe,D,Anaheim Ducks,33:26:00,2,16:43,1.886026017,2.658402308,0,37.69445552,10.76984444
Drew Helleson,D,Anaheim Ducks,40:28:00,3,13:29,2.282987229,2.382162997,0,31.13545571,8.895844487
Benoit-Olivier Groulx,F,Anaheim Ducks,22:50,2,11:25,1.035365052,2.749569353,2.627225844,31.52671013,2.627225844
Olen Zellweger,D,Anaheim Ducks,,,,,,,,
Logan Cooley,F,Arizona Coyotes,,,,,,,,
Jan Jenik,F,Arizona Coyotes,11:41,2,5:51,0.444232058,2.110837588,0,61.60574226,30.80287113
Vladislav Kolyachonok,D,Arizona Coyotes,23:51,2,11:55,0.551539264,3.476411262,2.516133541,30.1936025,25.16133541
Nathan Smith,F,Arizona Coyotes,29:16:00,4,7:19,0.559370513,1.65696157,4.101084129,43.06138336,22.55596271
Connor Mackey,D,Arizona Coyotes,376:06:00,30,12:32,2.714100508,3.101999937,1.595289759,37.17025139,19.30300609
Dysin Mayo,D,Arizona Coyotes,152:55:00,15,10:12,1.670022397,2.665462658,0.78472689,38.45161759,19.2258088
Patrik Nemeth,D,Arizona Coyotes,1065:20:00,75,14:12,1.846594577,2.522689333,0.901124998,36.94612493,18.1914609
Juuso Valimaki,D,Arizona Coyotes,1171:00:00,78,15:01,2.267519513,2.38552829,2.203238818,50.05963547,17.52343432
Laurent Dauphin,F,Arizona Coyotes,216:01:00,21,10:17,1.538088395,2.437505948,5.277302712,52.77302712,17.22067201
J.J. Moser,D,Arizona Coyotes,1241:30:00,82,15:08,2.170306906,2.726284181,1.20820938,48.03840495,16.38331919
Barrett Hayton,F,Arizona Coyotes,1074:44:00,82,13:06,2.538154569,2.621653014,5.917737861,43.43396279,16.30169298
Travis Boyd,F,Arizona Coyotes,1038:09:00,82,12:40,2.052910246,3.144167872,4.450207286,46.64048415,15.89359745
Mike Kesselring,D,Arizona Coyotes,133:18:00,9,14:49,2.046399136,2.155283901,1.800382581,44.10937324,15.75334759
Jack McBain,F,Arizona Coyotes,931:15:00,82,11:21,1.940308841,2.937647069,3.865785649,45.87398971,15.65643188
Victor Söderström,D,Arizona Coyotes,435:00:00,30,14:30,2.187443394,3.047268512,1.655147048,43.30968108,15.58596803
Dylan Guenther,F,Arizona Coyotes,358:30:00,33,10:52,1.948915517,2.681320863,5.02089716,37.15463898,15.06269148
Lawson Crouse,F,Arizona Coyotes,1003:45:00,77,13:02,2.568195642,2.764026343,7.29261219,35.98485687,14.64499989
Josh Brown,D,Arizona Coyotes,854:46:00,68,12:34,1.963396438,3.342273102,1.052923031,31.86847041,14.53033783
Clayton Keller,F,Arizona Coyotes,1292:41:00,82,15:46,2.628158843,2.788947517,5.709091612,64.51737676,13.4604599
Brett Ritchie,F,Arizona Coyotes,488:22:00,50,9:46,1.775930282,2.15131787,3.93146331,36.7346103,13.3915469
Christian Fischer,F,Arizona Coyotes,948:01:00,80,11:51,1.726572337,2.852142239,4.240444204,39.42980207,13.16436409
Michael Carcone,F,Arizona Coyotes,110:03:00,9,12:14,2.908257549,2.095759958,5.452287437,49.07058693,13.08548985
Bokondji Imama,F,Arizona Coyotes,37:24:00,5,7:29,0.125262711,3.210321761,3.207984317,30.47585101,12.83193727
Nick Schmaltz,F,Arizona Coyotes,941:59:00,63,14:57,2.766777,2.587211616,5.095670626,57.32629455,12.80287245
Matias Maccelli,F,Arizona Coyotes,812:15:00,64,12:41,2.376767702,2.416566505,3.767274369,63.2311149,12.7791856
Milos Kelemen,F,Arizona Coyotes,105:27:00,14,7:32,1.08170826,2.728652922,5.120910384,38.12233286,10.81081081
Liam O'Brien,F,Arizona Coyotes,579:51:00,56,10:21,1.352053326,2.48634375,3.414672938,33.21545494,10.34749375
Zack Kassian,F,Arizona Coyotes,463:20:00,51,9:05,1.450053075,3.13615755,2.589909425,31.9853814,10.23014223
Jean-Sebastien Dea,F,Arizona Coyotes,37:44:00,4,9:26,1.288371429,4.026457648,1.590012367,19.0801484,9.540074201
Chris Wagner,F,Boston Bruins,11:44,1,11:44,0.724608234,2.860569249,5.113878498,20.45551399,35.79714949
Anton Stralman,D,Boston Bruins,114:37:00,8,14:20,2.68111467,2.742525234,1.046902187,45.01679406,27.74290796
Patrice Bergeron,F,Boston Bruins,885:39:00,78,11:21,2.990897237,1.713857332,9.145756256,38.6154153,21.81432233
Hampus Lindholm,D,Boston Bruins,1383:40:00,80,17:18,2.804693307,2.060649208,1.561067741,60.79491593,19.64343575
Brandon Carlo,D,Boston Bruins,1128:23:00,75,15:03,2.737707787,1.850459346,0.903946346,49.39800915,19.40825979
Charlie McAvoy,D,Boston Bruins,1096:44:00,67,16:22,2.921879133,2.058193018,1.641235121,57.22439787,19.36657442
Connor Clifton,D,Boston Bruins,1235:30:00,78,15:50,2.724702779,2.147063392,1.796849847,52.40002662,18.98833217
Derek Forbort,D,Boston Bruins,766:42:00,54,14:12,2.279148873,2.181835057,1.095595806,48.67575654,18.70338555
Connor Carrick,D,Boston Bruins,16:02,1,16:02,2.239382727,0.713201874,0,56.10583916,18.70194639
Charlie Coyle,F,Boston Bruins,1071:28:00,82,13:04,2.612704161,2.185717994,5.767788942,47.87824801,18.03134019
Oskar Steen,F,Boston Bruins,27:20:00,3,9:07,3.400339132,2.047160737,6.585767425,19.75730227,17.56204647
Matt Grzelcyk,D,Boston Bruins,1186:59:00,75,15:50,2.676447857,1.819076951,1.112066956,50.04301303,17.13594082
Jakub Zboril,D,Boston Bruins,250:29:00,22,11:23,2.29548946,2.796040531,0.718599529,46.46943623,17.00685553
David Krejci,F,Boston Bruins,940:34:00,70,13:26,2.69929769,2.465013731,4.975694465,49.05524415,16.90460299
Dmitry Orlov,D,Boston Bruins,1179:53:00,66,17:53,2.715760957,2.532202257,1.678121747,60.31067853,16.5269566
Nick Foligno,F,Boston Bruins,636:38:00,60,10:37,2.400348646,1.796913039,4.712268041,42.41041237,16.02171134
Tomas Nosek,F,Boston Bruins,637:57:00,66,9:40,2.143101433,2.041784031,4.420370628,41.57029399,15.98857461
Mike Reilly,D,Boston Bruins,148:23:00,10,14:50,1.913735523,2.299644461,0.808688913,53.77781272,15.76943381
Trent Frederic,F,Boston Bruins,888:45:00,79,11:15,2.702890141,1.970123878,6.88606734,43.07167611,15.25736489
Jakub Lauko,F,Boston Bruins,192:01:00,23,8:21,1.573426592,1.82374465,4.687038891,42.80828854,14.68605519
Joona Koppanen,F,Boston Bruins,45:04:00,5,9:01,1.225870475,0.93375738,2.662820371,34.61666482,14.64551204
Pavel Zacha,F,Boston Bruins,1022:59:00,82,12:29,2.883650178,2.294019459,6.510387674,42.58145452,14.60438316
A.J. Greer,F,Boston Bruins,542:35:00,61,8:54,2.38512376,1.971004219,6.413774461,39.03555836,14.59686602
Taylor Hall,F,Boston Bruins,788:29:00,61,12:56,2.779688372,2.263219181,7.68564121,64.30066161,14.22985056
Tyler Bertuzzi,F,Boston Bruins,652:58:00,50,13:04,3.195431388,2.6387471,6.432170381,41.44155488,13.59944595
Jake DeBrusk,F,Boston Bruins,756:16:00,64,11:49,3.006004161,1.826745847,7.298948352,48.55387382,13.48718717
