Player,Position,Team,Total TOI(min),GP,TOI/GP(min),G,A,PTS,+/-,S
Erik Karlsson,D,SJS,2100:04:00,82,25:37:00,25,76,101,-25,218
Josh Morrissey,D,WPG,1891:30:00,78,24:15:00,16,60,76,1,187
Quinn Hughes,D,VAN,2000:11:00,78,25:39:00,7,69,76,16,167
Dougie Hamilton,D,NJD,1785:45:00,82,21:47,22,52,74,26,281
Brandon Montour,D,FLA,1929:47:00,80,24:07:00,16,57,73,11,238
Rasmus Dahlin,D,BUF,2011:08:00,78,25:47:00,15,58,73,11,202
Miro Heiskanen,D,DAL,2014:38:00,79,25:30:00,11,62,73,12,205
Adam Fox,D,NYR,2001:09:00,82,24:24:00,12,60,72,29,168
Cale Makar,D,COL,1584:58:00,60,26:25:00,17,49,66,17,181
Vince Dunn,D,SEA,1917:58:00,81,23:41,14,50,64,26,167
Mikhail Sergachev,D,TBL,1882:16:00,79,23:50,10,54,64,13,158
Brent Burns,D,CAR,1903:27:00,82,23:13,18,43,61,18,262
Roman Josi,D,NSH,1686:31:00,67,25:10:00,18,41,59,5,263
Tyson Barrie,D,NSH,1682:04:00,85,19:47,13,42,55,-7,175
Alex Pietrangelo,D,VGK,1755:56:00,73,24:03:00,11,43,54,15,161
Hampus Lindholm,D,BOS,1857:13:00,80,23:13,10,43,53,44,164
Drew Doughty,D,LAK,2125:29:00,81,26:14:00,9,43,52,13,152
Charlie McAvoy,D,BOS,1497:37:00,67,22:21,7,45,52,30,109
Justin Faulk,D,STL,1915:52:00,82,23:22,11,39,50,-4,201
Devon Toews,D,COL,2008:54:00,80,25:07:00,7,43,50,40,172
Noah Dobson,D,NYI,1589:31:00,78,20:23,13,36,49,3,216
Rasmus Andersson,D,CGY,1903:46:00,79,24:06:00,11,38,49,6,162
Victor Hedman,D,TBL,1802:03:00,76,23:43,9,40,49,10,176
Cam Fowler,D,ANA,1982:43:00,82,24:11:00,10,38,48,-21,144
Darnell Nurse,D,EDM,1927:30:00,82,23:30,12,31,43,23,194
K'Andre Miller,D,NYR,1733:37:00,79,21:57,9,34,43,13,117
Tony DeAngelo,D,PHI,1542:43:00,70,22:02,11,31,42,-28,181
Erik Gustafsson,D,TOR,1384:29:00,70,19:47,7,35,42,7,114
Moritz Seider,D,DET,1900:33:00,82,23:11,5,37,42,-12,137
Shayne Gostisbehere,D,CAR,1560:38:00,75,20:49,13,28,41,-4,156
Gustav Forsling,D,FLA,1922:08:00,82,23:26,13,28,41,16,212
Kris Letang,D,PIT,1592:32:00,64,24:53:00,12,29,41,-12,166
Thomas Chabot,D,OTT,1697:50:00,68,24:58:00,11,30,41,-11,180
Shea Theodore,D,VGK,1177:21:00,55,21:24,8,33,41,14,138
Morgan Rielly,D,TOR,1410:00:00,65,21:42,4,37,41,-10,123
Evan Bouchard,D,EDM,1516:19:00,82,18:29,8,32,40,7,160
Filip Hronek,D,VAN,1387:24:00,64,21:41,9,30,39,5,122
Brady Skjei,D,CAR,1767:43:00,81,21:49,18,20,38,7,196
Aaron Ekblad,D,FLA,1663:57:00,71,23:26,14,24,38,-16,197
Sean Durzi,D,LAK,1424:19:00,72,19:47,9,29,38,-13,111
Noah Hanifin,D,CGY,1832:10:00,81,22:37,7,31,38,2,173
Seth Jones,D,CHI,1759:30:00,72,24:26:00,12,25,37,-39,184
Samuel Girard,D,COL,1633:51:00,76,21:30,6,31,37,-10,119
Dmitry Orlov,D,BOS,1488:11:00,66,22:33,7,29,36,12,120
Rasmus Sandin,D,WSH,1371:31:00,71,19:19,7,28,35,3,86
Owen Power,D,BUF,1880:34:00,79,23:48,4,31,35,11,135
Jared Spurgeon,D,MIN,1725:17:00,79,21:50,11,23,34,35,161
Mike Matheson,D,MTL,1173:50:00,48,24:27:00,8,26,34,8,128
Justin Schultz,D,SEA,1298:36:00,73,17:47,7,27,34,4,106
Juuso Valimaki,D,ARI,1416:15:00,78,18:09,4,30,34,-11,90
John Klingberg,D,MIN,1381:58:00,67,20:38,10,23,33,-25,121
Neal Pionk,D,WPG,1798:31:00,82,21:56,10,23,33,-13,149
Jakob Chychrun,D,OTT,1091:38:00,48,22:45,9,24,33,8,136
Adam Larsson,D,SEA,1939:29:00,82,23:39,8,25,33,25,151
Damon Severson,D,NJD,1617:41:00,81,19:58,7,26,33,9,108
Mattias Ekholm,D,EDM,1675:56:00,78,21:29,9,23,32,26,143
Torey Krug,D,STL,1171:48:00,63,18:36,7,25,32,-27,138
Jake Sanderson,D,OTT,1688:51:00,77,21:56,4,28,32,-7,134
Janis Jerome Moser,D,ARI,1726:42:00,82,21:03,7,24,31,-13,96
Jeff Petry,D,PIT,1361:31:00,61,22:19,5,26,31,1,123
MacKenzie Weegar,D,CGY,1709:55:00,81,21:07,4,27,31,17,175
Jacob Trouba,D,NYR,1737:05:00,82,21:11,8,22,30,6,208
Brett Pesce,D,CAR,1806:10:00,82,22:02,5,25,30,11,135
John Carlson,D,WSH,936:05:00,40,23:24,9,20,29,-8,129
Nick Jensen,D,WSH,1587:23:00,77,20:37,5,24,29,0,128
Calen Addison,D,MIN,997:34:00,62,16:05,3,26,29,-17,82
Jaccob Slavin,D,CAR,1669:42:00,76,21:58,7,20,27,19,140
