Player,Cap Hit,Age,Handed,Clause
Nathan MacKinnon,"$12,600,000 ",27,Right,NMC
Connor McDavid,"$12,500,000 ",26,Left,NMC
Artemi Panarin,"$11,642,857 ",31,Right,NMC
Auston Matthews,"$11,640,250 ",25,Left,NMC
Erik Karlsson,"$11,500,000 ",33,Right,NMC
David Pastrnak,"$11,250,000 ",27,Right,NMC
Drew Doughty,"$11,000,000 ",33,Right,M-NTC
John Tavares,"$11,000,000 ",32,Left,NMC
Mitchell Marner,"$10,903,000 ",26,Right,NMC
Jonathan Huberdeau,"$10,500,000 ",30,Left,NMC
Carey Price,"$10,500,000 ",35,Left,NMC
Aleksander Barkov,"$10,000,000 ",27,Left,NMC
Jack Eichel,"$10,000,000 ",26,Right,NMC
Sergei Bobrovsky,"$10,000,000 ",34,Left,NMC
Anze Kopitar,"$10,000,000 ",35,Left,NMC
Tyler Seguin,"$9,850,000 ",31,Right,NMC
Johnny Gaudreau,"$9,750,000 ",29,Left,NMC
Zachary Werenski,"$9,583,333 ",25,Left,NMC
Alex Ovechkin,"$9,500,000 ",37,Right,"M-NTC, NMC"
Mark Stone,"$9,500,000 ",31,Right,NMC
Adam Fox,"$9,500,000 ",25,Right,
Seth Jones,"$9,500,000 ",28,Right,NMC
Brayden Point,"$9,500,000 ",27,Right,NMC
Charlie McAvoy,"$9,500,000 ",25,Right,
Jamie Benn,"$9,500,000 ",33,Left,NMC
Andrei Vasilevskiy,"$9,500,000 ",28,Left,NMC
Matthew Tkachuk,"$9,500,000 ",25,Left,NMC
Nikita Kucherov,"$9,500,000 ",30,Left,NMC
Mikko Rantanen,"$9,250,000 ",26,Left,M-NTC
Darnell Nurse,"$9,250,000 ",28,Left,NMC
Nicklas Bäckström,"$9,200,000 ",35,Left,M-NTC
Mathew Barzal,"$9,150,000 ",26,Right,
Roman Josi,"$9,059,000 ",33,Left,NMC
Kirill Kaprizov,"$9,000,000 ",26,Left,
Jeff Skinner,"$9,000,000 ",31,Left,NMC
Cale Makar,"$9,000,000 ",24,Right,
Dougie Hamilton,"$9,000,000 ",30,Right,NMC
Timo Meier,"$8,800,000 ",26,Left,
Alex Pietrangelo,"$8,800,000 ",33,Right,NMC
Sidney Crosby,"$8,700,000 ",35,Left,NMC
Dylan Larkin,"$8,700,000 ",26,Left,NTC
Patrik Laine,"$8,700,000 ",25,Right,M-NTC
Mika Zibanejad,"$8,500,000 ",30,Right,NMC
Pierre-Luc Dubois,"$8,500,000 ",25,Left,
Filip Forsberg,"$8,500,000 ",28,Right,NMC
Bo Horvat,"$8,500,000 ",28,Left,NTC
Steven Stamkos,"$8,500,000 ",33,Right,NMC
Leon Draisaitl,"$8,500,000 ",27,Left,"M-NTC, NMC"
Mikhail Sergachev,"$8,500,000 ",25,Left,
Sebastian Aho,"$8,460,250 ",25,Left,
Roope Hintz,"$8,450,000 ",26,Left,
Miro Heiskanen,"$8,450,000 ",23,Left,
Tim Stützle,"$8,350,000 ",21,Left,
Jakub Voracek,"$8,250,000 ",33,Left,
Brady Tkachuk,"$8,205,714 ",23,Left,
Tomas Hertl,"$8,137,500 ",29,Left,NMC
Jordan Kyrou,"$8,125,000 ",25,Right,
Robert Thomas,"$8,125,000 ",23,Right,
Thomas Chabot,"$8,000,000 ",26,Left,
Ryan Johansen,"$8,000,000 ",30,Right,
John Carlson,"$8,000,000 ",33,Right,M-NTC
Jacob Trouba,"$8,000,000 ",29,Right,NMC
Logan Couture,"$8,000,000 ",34,Left,M-NTC
Jack Hughes,"$8,000,000 ",22,Left,
Brent Burns,"$8,000,000 ",38,Right,M-NTC
J.T. Miller,"$8,000,000 ",30,Left,NMC
Joshua Norris,"$7,950,000 ",24,Left,
Jesper Bratt,"$7,875,000 ",24,Left,
Alex DeBrincat,"$7,875,000 ",25,Right,
Nick Suzuki,"$7,875,000 ",23,Right,
Victor Hedman,"$7,875,000 ",32,Left,M-NTC
Kevin Fiala,"$7,875,000 ",26,Left,NMC
Shea Weber,"$7,857,143 ",37,Right,
Quinn Hughes,"$7,850,000 ",23,Left,
Cole Caufield,"$7,850,000 ",22,Right,
Evgeny Kuznetsov,"$7,800,000 ",31,Left,M-NTC
Dmitry Orlov,"$7,750,000 ",31,Left,
Jason Robertson,"$7,750,000 ",23,Left,
Andrei Svechnikov,"$7,750,000 ",23,Left,
